,mutual_info
creatinina,0.0
plaquetas,0.0
enfermedad_cardiaca,0.0
asma,0.0
mut_ALK,0.0
edad,0.0
mut_BRAF,0.0
zona,0.0
num_hijos,0.0
distancia_hospital_km,0.0
colesterol,0.0008238435700917979
epoc,0.001332484591409555
nivel_ingresos,0.0015992231501038567
diabetes,0.0022069414343084404
leucocitos,0.0023662007523574946
estado_civil,0.0026101054736062945
mut_PIK3CA,0.003803233162192665
hemoglobina,0.0038434171360088865
mut_EGFR,0.005322771706628204
nivel_educativo,0.0064259552540650855
trigliceridos,0.007920096340258587
alcohol,0.008294897888084352
mut_KRAS,0.009792253379584892
actividad_fisica,0.010770865352455639
hipertension,0.011996100100422735
mut_TP53,0.015048196937628378
glucosa,0.01605688149544382
mut_BRCA1,0.01997430430722824
tipo_seguro,0.0203537132422813
obesidad,0.02084997465322802
fumador,0.025603280920196703
vive,0.06311322268999642
num_ingresos,0.2004485796073523
coste_farmaco,0.4261645135804769
dias_hospital,0.4354080461519979
coste_total,0.45076444057030585
