epoch,loss,val_loss,accuracy,val_accuracy,auc,val_auc
0,0.9571824781894683,0.8333044648170471,0.69490625,0.742125,0.8352567281425324,0.8237657945764347
1,0.8625632588863372,0.8175560235977173,0.73671875,0.757125,0.8444636108345642,0.8311782085807994
2,0.8369215302467347,0.8141757249832153,0.7426875,0.740125,0.8472354497839086,0.8336038970000554
3,0.8198996164798736,0.8124116063117981,0.75040625,0.745625,0.8499353611874396,0.8340174709788098
4,0.8230987691879272,0.8079156875610352,0.7443125,0.748375,0.8504905946672896,0.8361647836111286
5,0.8117284848690033,0.8103541135787964,0.7444375,0.740125,0.8512219803754856,0.835444228437369
6,0.8070140817165374,0.8088550567626953,0.74853125,0.750125,0.8523620658514561,0.8357656628911878
7,0.803243717432022,0.8113277554512024,0.7486875,0.759125,0.8533914653356152,0.8352926699595339
8,0.800302315235138,0.8111835718154907,0.749875,0.74475,0.854779577264261,0.8355199073064334
9,0.7971550576686859,0.811478853225708,0.74896875,0.745625,0.8552673088814974,0.8361356763537962
10,0.7911859440803528,0.8128117322921753,0.7503125,0.751125,0.8566921749956414,0.835533457236571
11,0.7920620255470275,0.8126434087753296,0.7519375,0.749625,0.8578318025341581,0.8355219147034909
12,0.7880139000415802,0.8125914931297302,0.74921875,0.750375,0.8591343711191369,0.8356917404945484
13,0.782791825056076,0.8143715858459473,0.7509375,0.746,0.8606019634250248,0.8350677411192502
14,0.782925575017929,0.813955545425415,0.7540625,0.74025,0.861411706622734,0.8352188981176739
15,0.7808678860664368,0.8167603611946106,0.75375,0.758375,0.8625757899032144,0.8343611875399661
16,0.777810756444931,0.8173669576644897,0.7511875,0.75,0.8638414945231686,0.8347560425411599
