threshold,precision,recall,f1
0.1,0.2211,0.9831,0.361
0.11,0.2268,0.9806,0.3684
0.12,0.2322,0.9786,0.3753
0.13,0.2365,0.976,0.3807
0.14,0.2416,0.9721,0.387
0.15,0.2465,0.9695,0.3931
0.16,0.2509,0.9637,0.3981
0.17,0.2562,0.9598,0.4044
0.18,0.2593,0.952,0.4075
0.19,0.2635,0.9456,0.4121
0.2,0.2672,0.9417,0.4163
0.21,0.2709,0.9358,0.4202
0.22,0.2771,0.932,0.4272
0.23,0.2823,0.93,0.4331
0.24,0.2875,0.9235,0.4385
0.25,0.2925,0.9209,0.444
0.26,0.2976,0.9164,0.4493
0.27,0.3028,0.9145,0.4549
0.28,0.3063,0.9073,0.458
0.29,0.311,0.9041,0.4628
0.3,0.3155,0.8983,0.467
0.31,0.3196,0.8918,0.4706
0.32,0.3246,0.8879,0.4754
0.33,0.329,0.8846,0.4796
0.34,0.3347,0.8795,0.4849
0.35,0.3402,0.8756,0.49
0.36,0.3437,0.8684,0.4925
0.37,0.3481,0.862,0.4959
0.38,0.3524,0.8535,0.4989
0.39,0.3591,0.8503,0.5049
0.4,0.3633,0.8406,0.5073
0.41,0.3686,0.8341,0.5112
0.42,0.3742,0.8302,0.5159
0.43,0.3791,0.8231,0.5191
0.44,0.3837,0.8166,0.5221
0.45,0.3894,0.8121,0.5264
0.46,0.3965,0.8043,0.5311
0.47,0.4018,0.7965,0.5341
0.48,0.4066,0.7868,0.5361
0.49,0.411,0.7784,0.538
0.5,0.4174,0.7699,0.5414
0.51,0.4245,0.7596,0.5446
0.52,0.4319,0.7485,0.5478
0.53,0.4369,0.7375,0.5487
0.54,0.4483,0.731,0.5558
0.55,0.4542,0.72,0.557
0.56,0.4633,0.7071,0.5598
0.57,0.4697,0.6928,0.5598
0.58,0.4779,0.6811,0.5617
0.59,0.4887,0.6727,0.5661
0.6,0.4976,0.663,0.5685
0.61,0.5089,0.65,0.5709
0.62,0.5176,0.6397,0.5722
0.63,0.5276,0.6248,0.5721
0.64,0.5406,0.6131,0.5746
0.65,0.5489,0.604,0.5751
0.66,0.5593,0.5872,0.5729
0.67,0.5678,0.5729,0.5703
0.68,0.5791,0.5574,0.568
0.69,0.5855,0.5437,0.5638
0.7,0.596,0.5269,0.5593
0.71,0.6046,0.5113,0.5541
0.72,0.6136,0.4971,0.5492
0.73,0.6273,0.4854,0.5473
0.74,0.6352,0.4673,0.5385
0.75,0.6373,0.4452,0.5242
0.76,0.6444,0.4251,0.5123
0.77,0.655,0.4109,0.505
0.78,0.6656,0.396,0.4965
0.79,0.674,0.3778,0.4842
0.8,0.6826,0.361,0.4722
0.81,0.6957,0.3422,0.4587
0.82,0.7086,0.3247,0.4453
0.83,0.7164,0.3078,0.4306
0.84,0.731,0.2923,0.4176
0.85,0.7509,0.2715,0.3989
0.86,0.778,0.2566,0.386
0.87,0.7888,0.2372,0.3647
0.88,0.8221,0.2126,0.3378
0.89,0.8385,0.1918,0.3122
0.9,0.8586,0.1653,0.2772
